Team,Player,4+ Rebs,6+ Rebs
Hawks,Jalen Johnson,1.02,1.06
Hawks,Jalen Johnson,1.02,1.06
Hawks,Clint Capela,1.06,1.21
Hawks,Trae Young,1.53,2.87
Hawks,Dyson Daniels,1.4,2.69
Hawks,Onyeka Okongwu,1.16,1.48
Hawks,Garrison Mathews,0,0
Hawks,Vit Krejci,5.63,0
Hawks,David Roddy,1.58,2.95
Trail Blazers,Toumani Camara,1.28,1.95
Trail Blazers,Jerami Grant,1.64,3.75
Trail Blazers,Anfernee Simons,3.13,0
Trail Blazers,Deni Avdija,1.12,1.65
Trail Blazers,Deandre Ayton,1.01,1.04
Trail Blazers,Scoot Henderson,1.9,0
Trail Blazers,Kris Murray,2.28,7.46
Trail Blazers,Jabari Walker,2.47,0
Trail Blazers,Jabari Walker,2.47,0
