Team,Player,4+ Rebs,6+ Rebs
Heat,Terry Rozier,1.56,4.77
Heat,Tyler Herro,1.12,1.82
Heat,Jimmy Butler,1.29,1.92
Heat,Nikola Jovic,1.59,3.67
Heat,Bam Adebayo,1.04,1.11
Heat,Alec Burks,3.54,0
Heat,Jaime Jaquez Jr.,1.19,1.78
Heat,Haywood Highsmith,2.05,6.21
Heat,Thomas Bryant,1.71,3.35
Celtics,Jrue Holiday,1.36,2.95
Celtics,Derrick White,1.25,2.22
Celtics,Jaylen Brown,1.15,1.49
Celtics,Jayson Tatum,1.03,1.12
Celtics,Al Horford,1.17,1.91
Celtics,Luke Kornet,1.44,2.89
Celtics,Payton Pritchard,2.0,6.18
Celtics,Kristaps Porzingis,1.0,1.02
Celtics,Xavier Tillman,3.02,0
