Team,Player,4+ Rebs,6+ Rebs
Hornets,LaMelo Ball,1.2,1.8
Hornets,Cody Martin,1.31,3.26
Hornets,Seth Curry,4.24,0
Hornets,Miles Bridges,1.03,1.22
Hornets,Nick Richards,1.07,1.16
Hornets,Tre Mann,2.0,7.19
Hornets,Grant Williams,1.3,2.26
Hornets,Vasilije Micic,1.74,3.5
Hornets,Vasilije Micic,1.74,3.5
Cavaliers,Darius Garland,3.79,0
Cavaliers,Donovan Mitchell,1.5,2.38
Cavaliers,Dean Wade,1.31,3.26
Cavaliers,Evan Mobley,1.06,1.18
Cavaliers,Jarrett Allen,1.04,1.1
Cavaliers,Georges Niang,1.67,4.35
Cavaliers,Sam Merrill,6.51,0
Cavaliers,Isaac Okoro,2.78,9.87
Cavaliers,Ty Jerome,3.38,0
