Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Indiana Pacers,Tyrese Haliburton,1.62,3.26,3.62,0,0,1.27,1.6,2.29,3.82,0,1.78,4.73,0,0,0,0,0,1.04,1.49,5.21,0,0,0
Indiana Pacers,Andrew Nembhard,3.47,0,0,0,0,1.4,8.13,0,0,0,nan,nan,nan,nan,nan,nan,nan,1.08,1.25,1.72,2.95,6.66,0
Indiana Pacers,Aaron Nesmith,3.96,0,0,0,0,1.14,3.52,0,0,0,1.69,3.1,8.04,0,0,0,0,8.13,0,0,0,0,0
Indiana Pacers,Pascal Siakam,1.03,3.45,4.93,0,0,1.19,2.0,6.3,0,0,1.04,1.39,3.55,0,0,0,0,1.1,1.29,1.74,2.84,5.83,0
Indiana Pacers,Myles Turner,1.04,3.72,5.28,0,0,1.16,1.49,2.41,5.21,0,1.08,1.34,2.23,5.64,0,0,0,1.24,3.03,0,0,0,0
Indiana Pacers,Obi Toppin,2.18,0,0,0,0,1.4,8.13,0,0,0,3.55,0,0,0,0,0,0,1.24,3.03,0,0,0,0
Indiana Pacers,Bennedict Mathurin,1.33,2.89,3.3,0,0,1.14,1.63,3.56,0,0,1.8,4.26,0,0,0,0,0,1.4,0,0,0,0,0
Indiana Pacers,T.J. McConnell,1.54,0,0,0,0,nan,nan,nan,nan,nan,2.0,8.06,0,0,0,0,0,1.0,1.01,8.13,0,0,0
Indiana Pacers,Ben Sheppard,0,0,0,0,0,1.39,2.58,8.02,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0
Orlando Magic,Kentavious Caldwell-Pope,5.5,0,0,0,0,1.39,2.58,8.02,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0
Orlando Magic,Jalen Suggs,1.26,3.92,4.87,0,0,1.11,1.27,1.6,2.29,0,1.34,2.23,5.64,0,0,0,0,1.16,2.41,0,0,0,0
Orlando Magic,Franz Wagner,1.0,1.02,1.04,5.17,8.06,1.0,1.0,1.01,1.4,0,1.04,1.49,5.21,0,0,0,0,1.0,1.19,6.3,0,0,0
Orlando Magic,Paolo Banchero,1.13,1.59,1.69,3.92,4.46,1.14,1.39,2.0,3.55,0,1.03,1.15,1.54,2.84,7.79,0,0,1.14,1.39,2.0,3.55,8.06,0
Orlando Magic,Wendell Carter Jr.,5.63,0,0,0,0,1.14,3.52,0,0,0,1.0,1.0,1.01,1.11,1.6,3.82,0,1.08,2.58,0,0,0,0
Orlando Magic,Anthony Black,nan,nan,nan,nan,nan,1.14,3.52,0,0,0,1.81,3.95,0,0,0,0,0,1.0,1.19,6.3,0,0,0
Orlando Magic,Jett Howard,4.48,0,0,0,0,1.24,1.71,3.03,7.29,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan
Orlando Magic,Moritz Wagner,1.53,7.84,0,0,0,nan,nan,nan,nan,nan,1.39,3.55,0,0,0,0,0,2.58,0,0,0,0,0
Orlando Magic,Cole Anthony,0,0,0,0,0,1.4,8.13,0,0,0,7.29,0,0,0,0,0,0,1.19,1.8,4.26,0,0,0
