Team,Player,4+ Rebs,6+ Rebs
Jazz,Lauri Markkanen,1.09,1.38
Jazz,Walker Kessler,1.02,1.06
Jazz,Keyonte George,2.24,0
Jazz,Taylor Hendricks,1.19,2.0
Jazz,Collin Sexton,2.28,0
Jazz,Collin Sexton,2.28,0
Jazz,Jordan Clarkson,1.32,6.12
Jazz,John Collins,1.03,1.16
Jazz,Brice Sensabaugh,6.84,0
Spurs,Chris Paul,1.56,3.38
Spurs,Julian Champagnie,1.08,1.68
Spurs,Harrison Barnes,1.41,2.97
Spurs,Jeremy Sochan,1.07,1.24
Spurs,Victor Wembanyama,1.05,1.13
Spurs,Keldon Johnson,1.13,1.67
Spurs,Keldon Johnson,1.13,1.67
Spurs,Tre Jones,8.02,0
Spurs,Zach Collins,1.61,3.4
