Team,Player,4+ Rebs,6+ Rebs
Jazz,Lauri Markkanen,1.07,1.34
Jazz,Walker Kessler,1.0,1.03
Jazz,Keyonte George,1.95,8.91
Jazz,Taylor Hendricks,1.19,2.0
Jazz,Collin Sexton,2.68,0
Jazz,Collin Sexton,2.68,0
Jazz,Jordan Clarkson,1.3,6.36
Jazz,John Collins,1.03,1.13
Jazz,Brice Sensabaugh,2.84,0
Trail Blazers,Toumani Camara,1.23,1.89
Trail Blazers,Jerami Grant,1.68,4.23
Trail Blazers,Anfernee Simons,2.48,0
Trail Blazers,Deni Avdija,1.1,1.49
Trail Blazers,Deandre Ayton,1.02,1.08
Trail Blazers,Scoot Henderson,2.16,0
Trail Blazers,Kris Murray,2.77,0
Trail Blazers,Shaedon Sharpe,1.76,0
Trail Blazers,Jabari Walker,1.95,6.99
