Team,Player,4+ Rebs,6+ Rebs
Kings,De'Aaron Fox,1.26,2.0
Kings,Kevin Huerter,1.42,3.37
Kings,DeMar DeRozan,1.53,2.72
Kings,Keegan Murray,1.07,1.22
Kings,Domantas Sabonis,1.0,1.01
Kings,Malik Monk,2.0,0
Kings,Trey Lyles,1.55,2.68
Kings,Alex Len,2.57,0
Kings,Jordan McLaughlin,0,0
Clippers,Derrick Jones Jr.,1.62,3.92
Clippers,James Harden,1.06,1.22
Clippers,Norman Powell,1.96,4.06
Clippers,Terance Mann,1.56,4.1
Clippers,Ivica Zubac,1.0,1.01
Clippers,Kris Dunn,1.59,4.37
Clippers,Amir Coffey,2.54,0
Clippers,Kevin Porter Jr.,1.96,4.59
Clippers,Nicolas Batum,2.59,0
