Team,Player,4+ Rebs,6+ Rebs
Kings,De'Aaron Fox,1.28,2.03
Kings,Kevin Huerter,1.6,4.51
Kings,DeMar DeRozan,1.49,2.74
Kings,Keegan Murray,1.06,1.21
Kings,Domantas Sabonis,1.0,1.0
Kings,Malik Monk,1.83,4.96
Kings,Trey Lyles,1.59,2.83
Kings,Alex Len,3.27,0
Kings,Malik Monk,1.83,4.96
Trail Blazers,Toumani Camara,1.3,2.08
Trail Blazers,Jerami Grant,1.75,4.36
Trail Blazers,Anfernee Simons,2.65,0
Trail Blazers,Deni Avdija,1.08,1.44
Trail Blazers,Deandre Ayton,1.0,1.03
Trail Blazers,Scoot Henderson,2.16,0
Trail Blazers,Kris Murray,2.57,9.98
Trail Blazers,Shaedon Sharpe,2.0,0
Trail Blazers,Jabari Walker,2.19,8.27
