Team,Player,4+ Rebs,6+ Rebs
Knicks,Karl-Anthony Towns,1.0,1.01
Knicks,Josh Hart,1.05,1.17
Knicks,Jalen Brunson,2.05,0
Knicks,OG Anunoby,1.13,1.84
Knicks,Mikal Bridges,1.54,3.8
Knicks,Cameron Payne,3.72,0
Knicks,Cameron Payne,3.72,0
Knicks,Jericho Sims,1.54,2.51
Knicks,Jericho Sims,1.54,2.51
Magic,Kentavious Caldwell-Pope,3.25,0
Magic,Jalen Suggs,1.39,2.88
Magic,Franz Wagner,1.19,1.66
Magic,Paolo Banchero,1.03,1.12
Magic,Wendell Carter Jr.,1.12,1.3
Magic,Anthony Black,2.31,0
Magic,Jonathan Isaac,1.35,2.03
Magic,Moritz Wagner,1.22,2.16
Magic,Cole Anthony,3.01,0
