Team,Player,4+ Rebs,6+ Rebs
Knicks,Karl-Anthony Towns,1.0,1.0
Knicks,Josh Hart,1.04,1.16
Knicks,Jalen Brunson,2.15,0
Knicks,OG Anunoby,1.16,1.97
Knicks,Mikal Bridges,1.59,4.36
Knicks,Cameron Payne,4.03,0
Knicks,Cameron Payne,4.03,0
Knicks,Jericho Sims,1.67,2.88
Knicks,Jericho Sims,1.67,2.88
Raptors,Scottie Barnes,1.04,1.15
Raptors,Ochai Agbaji,1.44,2.78
Raptors,Gradey Dick,2.0,6.17
Raptors,Jakob Poeltl,1.01,1.03
Raptors,Ochai Agbaji,1.44,2.78
Raptors,RJ Barrett,1.06,1.31
Raptors,Chris Boucher,1.29,2.52
Raptors,Chris Boucher,1.29,2.52
Raptors,Chris Boucher,1.29,2.52
