Team,Player,4+ Rebs,6+ Rebs
Lakers,D'Angelo Russell,2.4,8.76
Lakers,Austin Reaves,1.71,3.64
Lakers,Rui Hachimura,1.18,1.76
Lakers,LeBron James,1.08,1.24
Lakers,Anthony Davis,1.0,1.02
Lakers,Max Christie,4.09,0
Lakers,Max Christie,4.09,0
Lakers,Jaxson Hayes,1.34,2.36
Lakers,Gabe Vincent,0,0
Timberwolves,Mike Conley,2.08,0
Timberwolves,Anthony Edwards,1.17,1.77
Timberwolves,Jaden McDaniels,1.53,3.98
Timberwolves,Julius Randle,1.04,1.24
Timberwolves,Rudy Gobert,1.02,1.05
Timberwolves,Donte DiVincenzo,2.05,8.03
Timberwolves,Naz Reid,1.27,1.91
Timberwolves,Nickeil Alexander-Walker,2.08,5.47
Timberwolves,Joe Ingles,0,0
