Team,Player,4+ Rebs,6+ Rebs
Los Angeles Clippers,Derrick Jones Jr.,1.71,4.85
Los Angeles Clippers,James Harden,1.06,1.2
Los Angeles Clippers,Norman Powell,1.8,3.3
Los Angeles Clippers,Terance Mann,1.4,3.51
Los Angeles Clippers,Ivica Zubac,1.0,1.01
Los Angeles Clippers,Kris Dunn,1.48,3.37
Los Angeles Clippers,Amir Coffey,3.33,0
Los Angeles Clippers,Kevin Porter Jr.,1.91,3.99
Los Angeles Clippers,Nicolas Batum,2.36,0
Houston Rockets,Fred VanVleet,1.4,3.47
Houston Rockets,Jalen Green,1.39,2.14
Houston Rockets,Dillon Brooks,1.44,5.0
Houston Rockets,Jabari Smith Jr.,1.18,1.48
Houston Rockets,Alperen Sengun,1.02,1.06
Houston Rockets,Cam Whitmore,9.65,0
Houston Rockets,Amen Thompson,1.11,1.41
Houston Rockets,Tari Eason,1.19,1.7
Houston Rockets,Jock Landale,1.79,6.79
