Team,Player,4+ Rebs,6+ Rebs
Los Angeles Lakers,D'Angelo Russell,4.96,0
Los Angeles Lakers,Austin Reaves,1.49,2.51
Los Angeles Lakers,Rui Hachimura,1.07,1.43
Los Angeles Lakers,LeBron James,1.07,1.22
Los Angeles Lakers,Anthony Davis,1.02,1.06
Los Angeles Lakers,Max Christie,4.56,0
Los Angeles Lakers,Max Christie,4.56,0
Los Angeles Lakers,Jaxson Hayes,1.35,2.3
Los Angeles Lakers,Gabe Vincent,0,0
San Antonio Spurs,Chris Paul,1.61,3.31
San Antonio Spurs,Julian Champagnie,1.03,1.65
San Antonio Spurs,Harrison Barnes,1.47,3.42
San Antonio Spurs,Jeremy Sochan,1.07,1.24
San Antonio Spurs,Victor Wembanyama,1.06,1.15
San Antonio Spurs,Keldon Johnson,1.14,1.6
San Antonio Spurs,Keldon Johnson,1.14,1.6
San Antonio Spurs,Tre Jones,,
San Antonio Spurs,Zach Collins,1.8,4.26
