Team,Player,4+ Rebs,6+ Rebs
Magic,Kentavious Caldwell-Pope,3.1,0
Magic,Jalen Suggs,1.38,2.77
Magic,Franz Wagner,1.2,1.73
Magic,Paolo Banchero,1.03,1.12
Magic,Wendell Carter Jr.,1.13,1.31
Magic,Anthony Black,2.39,0
Magic,Jett Howard,0,0
Magic,Moritz Wagner,1.24,2.32
Magic,Cole Anthony,2.97,0
Nets,Dennis Schroder,1.85,6.94
Nets,Cam Thomas,1.81,6.16
Nets,Ben Simmons,1.05,1.4
Nets,Cameron Johnson,1.42,2.76
Nets,Nic Claxton,1.06,1.22
Nets,Dorian Finney-Smith,1.31,2.96
Nets,Noah Clowney,1.88,7.85
Nets,Ziaire Williams,1.51,2.38
Nets,Jalen Wilson,1.66,3.8
