Team,Player,4+ Rebs,6+ Rebs
Mavericks,Luka Doncic,1.0,1.06
Mavericks,Kyrie Irving,1.41,2.52
Mavericks,Klay Thompson,1.73,4.65
Mavericks,P.J. Washington,1.12,1.29
Mavericks,Daniel Gafford,1.05,1.33
Mavericks,Dereck Lively II,1.15,1.42
Mavericks,Maxi Kleber,2.13,6.06
Mavericks,Naji Marshall,1.74,4.49
Mavericks,Jaden Hardy,0,0
Nuggets,Jamal Murray,1.42,2.58
Nuggets,Christian Braun,1.12,1.77
Nuggets,Michael Porter Jr.,1.04,1.24
Nuggets,Aaron Gordon,1.21,1.5
Nuggets,Nikola Jokic,1.0,1.02
Nuggets,Russell Westbrook,1.37,2.44
Nuggets,Julian Strawther,2.71,0
Nuggets,Peyton Watson,1.63,4.64
Nuggets,Dario Saric,1.66,2.69
