Team,Player,4+ Rebs,6+ Rebs
Mavericks,Luka Doncic,1.0,1.03
Mavericks,Kyrie Irving,1.23,2.06
Mavericks,Klay Thompson,1.76,4.37
Mavericks,P.J. Washington,1.08,1.28
Mavericks,Daniel Gafford,1.03,1.33
Mavericks,Dereck Lively II,1.17,1.42
Mavericks,Maxi Kleber,2.79,0
Mavericks,Naji Marshall,1.61,4.04
Mavericks,Jaden Hardy,0,0
Thunder,Shai Gilgeous-Alexander,1.17,1.7
Thunder,Aaron Wiggins,1.52,3.45
Thunder,Jalen Williams,1.07,1.36
Thunder,Luguentz Dort,1.57,3.13
Thunder,Chet Holmgren,1.14,1.29
Thunder,Isaiah Joe,1.81,6.47
Thunder,Alex Caruso,2.08,8.02
Thunder,Cason Wallace,1.73,7.27
Thunder,Isaiah Joe,1.81,6.47
