Team,Player,4+ Rebs,6+ Rebs
Miami Heat,Terry Rozier,1.21,2.9
Miami Heat,Tyler Herro,1.03,1.75
Miami Heat,Jimmy Butler,1.34,2.16
Miami Heat,Nikola Jovic,1.52,3.21
Miami Heat,Bam Adebayo,1.04,1.13
Miami Heat,Alec Burks,9.11,0
Miami Heat,Jaime Jaquez Jr.,1.04,1.23
Miami Heat,Duncan Robinson,3.26,0
Miami Heat,Thomas Bryant,1.71,3.35
Indiana Pacers,Tyrese Haliburton,1.54,2.87
Indiana Pacers,Andrew Nembhard,6.3,0
Indiana Pacers,Aaron Nesmith,1.57,2.74
Indiana Pacers,Pascal Siakam,1.06,1.33
Indiana Pacers,Myles Turner,1.12,1.39
Indiana Pacers,Obi Toppin,1.93,4.82
Indiana Pacers,Bennedict Mathurin,1.19,1.49
Indiana Pacers,T.J. McConnell,2.73,0
Indiana Pacers,Ben Sheppard,3.55,0
