Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Milwaukee Bucks,Damian Lillard,1.0,1.04,1.06,2.76,3.5,1.1,1.22,1.43,1.81,0,1.22,1.69,3.1,8.04,0,0,0,1.01,1.07,1.45,3.24,0,0
Milwaukee Bucks,Taurean Prince,1.11,9.85,0,0,0,1.14,1.32,1.69,2.46,0,1.05,1.32,2.46,8.38,0,0,0,1.02,4.17,0,0,0,0
Milwaukee Bucks,Gary Trent Jr.,1.19,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,1.63,0,0,0,0,0
Milwaukee Bucks,Giannis Antetokounmpo,1.01,1.13,1.16,1.94,2.13,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.01,1.24,3.03,0,1.0,1.0,1.14,3.56,0,0
Milwaukee Bucks,Brook Lopez,1.51,0,0,0,0,1.08,1.39,2.58,8.02,0,1.19,1.8,4.26,0,0,0,0,1.51,2.4,4.92,0,0,0
Milwaukee Bucks,Bobby Portis,1.32,7.5,0,0,0,nan,nan,nan,nan,nan,1.32,1.53,1.88,2.46,3.43,5.16,8.38,1.32,4.17,0,0,0,0
Milwaukee Bucks,Pat Connaughton,8.06,0,0,0,0,nan,nan,nan,nan,nan,1.19,6.3,0,0,0,0,0,1.4,0,0,0,0,0
Milwaukee Bucks,AJ Green,5.94,0,0,0,0,1.24,1.71,3.03,7.29,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan
Milwaukee Bucks,Delon Wright,0,0,0,0,0,1.4,8.13,0,0,0,0,0,0,0,0,0,0,2.0,8.06,0,0,0,0
Boston Celtics,Jrue Holiday,1.66,8.05,0,0,0,1.19,1.45,2.0,3.24,0,2.0,0,0,0,0,0,0,1.14,2.0,8.06,0,0,0
Boston Celtics,Derrick White,1.0,1.41,1.64,0,0,1.16,1.29,1.5,1.84,0,1.24,3.03,0,0,0,0,0,1.0,1.14,0,0,0,0
Boston Celtics,Jaylen Brown,1.0,1.0,1.0,0,0,1.0,1.01,1.08,1.39,0,1.0,1.01,1.24,3.03,0,0,0,1.19,2.0,6.3,0,0,0
Boston Celtics,Jayson Tatum,1.0,1.02,1.02,1.31,1.39,1.01,1.03,1.08,1.17,5.64,1.26,1.59,2.3,3.93,8.07,0,0,1.12,1.29,1.67,2.49,4.41,9.47
Boston Celtics,Al Horford,1.94,6.36,7.63,0,0,1.17,1.34,1.65,2.23,0,1.14,3.56,0,0,0,0,0,1.39,2.59,8.08,0,0,0
Boston Celtics,Luke Kornet,0,0,0,0,0,nan,nan,nan,nan,nan,1.14,0,0,0,0,0,0,1.39,8.02,0,0,0,0
Boston Celtics,Payton Pritchard,1.53,4.03,4.73,0,0,1.06,1.14,1.31,1.63,0,3.03,0,0,0,0,0,0,1.45,3.24,0,0,0,0
Boston Celtics,Xavier Tillman,0,0,0,0,0,1.19,2.0,6.3,0,0,1.7,3.02,7.25,0,0,0,0,1.4,0,0,0,0,0
Boston Celtics,Xavier Tillman,0,0,0,0,0,1.19,2.0,6.3,0,0,1.7,3.02,7.25,0,0,0,0,1.4,0,0,0,0,0
