Team,Player,4+ Rebs,6+ Rebs
Nets,Dennis Schroder,2.0,7.41
Nets,Cam Thomas,1.74,5.01
Nets,Ben Simmons,1.02,1.29
Nets,Cameron Johnson,1.38,2.74
Nets,Nic Claxton,1.08,1.26
Nets,Nic Claxton,1.08,1.26
Nets,Noah Clowney,1.87,7.06
Nets,Ziaire Williams,1.46,2.27
Nets,Jalen Wilson,1.82,4.59
76ers,Tyrese Maxey,2.0,0
76ers,Kyle Lowry,3.75,0
76ers,Caleb Martin,1.27,1.8
76ers,Kelly Oubre Jr.,1.22,2.28
76ers,Andre Drummond,1.07,1.18
76ers,Eric Gordon,0,0
76ers,Paul George,1.17,1.76
76ers,Joel Embiid,1.1,1.29
76ers,Guerschon Yabusele,1.31,2.14
