Team,Player,4+ Rebs,6+ Rebs
Nets,Dennis Schroder,1.9,7.54
Nets,Cam Thomas,1.81,6.16
Nets,Ben Simmons,1.09,1.54
Nets,Cameron Johnson,1.42,2.8
Nets,Nic Claxton,1.05,1.22
Nets,Dorian Finney-Smith,1.31,2.96
Nets,Noah Clowney,1.88,7.85
Nets,Ziaire Williams,1.49,2.37
Nets,Jalen Wilson,1.67,3.94
Bulls,Coby White,1.62,3.39
Bulls,Zach LaVine,1.39,2.36
Bulls,Nikola Vucevic,1.0,1.03
Bulls,Patrick Williams,1.3,2.0
Bulls,Josh Giddey,1.18,1.58
Bulls,Ayo Dosunmu,1.56,4.23
Bulls,Lonzo Ball,2.78,0
Bulls,Julian Phillips,3.43,0
Bulls,Jalen Smith,1.13,1.86
