Team,Player,4+ Rebs,6+ Rebs
Nets,Dennis Schroder,2.0,7.66
Nets,Cam Thomas,1.83,5.44
Nets,Ben Simmons,1.0,1.19
Nets,Cameron Johnson,1.44,2.83
Nets,Nic Claxton,1.08,1.26
Nets,Nic Claxton,1.08,1.26
Nets,Noah Clowney,1.79,5.72
Nets,Ziaire Williams,1.4,2.08
Nets,Jalen Wilson,1.84,4.83
Knicks,Karl-Anthony Towns,1.0,1.02
Knicks,Josh Hart,1.02,1.1
Knicks,Jalen Brunson,2.09,0
Knicks,OG Anunoby,1.15,1.82
Knicks,Mikal Bridges,1.53,3.12
Knicks,Cameron Payne,4.97,0
Knicks,Cameron Payne,4.97,0
Knicks,Jericho Sims,1.54,3.07
Knicks,Jericho Sims,1.54,3.07
