Team,Player,4+ Rebs,6+ Rebs
New Orleans Pelicans,CJ McCollum,1.66,4.61
New Orleans Pelicans,Herbert Jones,2.86,0
New Orleans Pelicans,Daniel Theis,1.27,2.2
New Orleans Pelicans,Brandon Ingram,1.02,1.22
New Orleans Pelicans,Zion Williamson,1.17,1.39
New Orleans Pelicans,Jordan Hawkins,1.21,1.84
New Orleans Pelicans,Jordan Hawkins,1.21,1.84
New Orleans Pelicans,Jose Alvarado,0,0
New Orleans Pelicans,Javonte Green,1.63,5.17
Golden State Warriors,Stephen Curry,1.31,1.85
Golden State Warriors,Trayce Jackson-Davis,1.64,2.57
Golden State Warriors,Andrew Wiggins,1.34,1.62
Golden State Warriors,Draymond Green,1.41,3.43
Golden State Warriors,Jonathan Kuminga,1.79,6.55
Golden State Warriors,Buddy Hield,1.47,3.11
Golden State Warriors,Brandin Podziemski,1.12,2.0
Golden State Warriors,Kevon Looney,1.0,1.03
Golden State Warriors,Gary Payton II,0,0
