Team,Player,4+ Rebs,6+ Rebs
Pacers,Tyrese Haliburton,1.73,3.96
Pacers,Andrew Nembhard,6.3,0
Pacers,Aaron Nesmith,1.57,2.74
Pacers,Pascal Siakam,1.05,1.29
Pacers,Myles Turner,1.04,1.2
Pacers,Obi Toppin,1.91,7.07
Pacers,Bennedict Mathurin,1.18,1.48
Pacers,T.J. McConnell,2.41,0
Pacers,Ben Sheppard,3.08,0
Grizzlies,Marcus Smart,2.37,8.59
Grizzlies,Desmond Bane,1.08,1.39
Grizzlies,Desmond Bane,1.08,1.39
Grizzlies,Jaren Jackson Jr.,1.01,1.37
Grizzlies,Desmond Bane,1.08,1.39
Grizzlies,Santi Aldama,1.14,1.34
Grizzlies,Jake LaRavia,1.3,2.1
Grizzlies,Scotty Pippen Jr.,1.49,3.21
Grizzlies,Brandon Clarke,1.37,2.21
