Team,Player,4+ Rebs,6+ Rebs
Pacers,Tyrese Haliburton,1.77,4.17
Pacers,Andrew Nembhard,7.14,0
Pacers,Aaron Nesmith,1.57,2.74
Pacers,Pascal Siakam,1.08,1.38
Pacers,Myles Turner,1.04,1.2
Pacers,Obi Toppin,1.76,4.8
Pacers,Bennedict Mathurin,1.17,1.45
Pacers,T.J. McConnell,2.33,0
Pacers,Ben Sheppard,3.08,0
Raptors,Scottie Barnes,1.05,1.17
Raptors,Ochai Agbaji,1.33,2.42
Raptors,Gradey Dick,1.95,5.71
Raptors,Jakob Poeltl,1.01,1.03
Raptors,Ochai Agbaji,1.33,2.42
Raptors,RJ Barrett,1.04,1.33
Raptors,Chris Boucher,1.28,2.48
Raptors,Chris Boucher,1.28,2.48
Raptors,Chris Boucher,1.28,2.48
