Team,Player,4+ Rebs,6+ Rebs
Pelicans,CJ McCollum,1.59,6.2
Pelicans,Herbert Jones,2.86,0
Pelicans,Daniel Theis,1.61,3.87
Pelicans,Brandon Ingram,1.05,1.48
Pelicans,Zion Williamson,1.07,1.22
Pelicans,Jordan Hawkins,1.51,3.68
Pelicans,Jordan Hawkins,1.51,3.68
Pelicans,Jose Alvarado,2.81,9.73
Pelicans,Javonte Green,1.68,5.49
Grizzlies,Marcus Smart,2.54,9.27
Grizzlies,Desmond Bane,1.05,1.29
Grizzlies,Desmond Bane,1.05,1.29
Grizzlies,Jaren Jackson Jr.,1.01,1.41
Grizzlies,Desmond Bane,1.05,1.29
Grizzlies,Santi Aldama,1.14,1.34
Grizzlies,Jake LaRavia,1.29,2.03
Grizzlies,Scotty Pippen Jr.,1.45,3.04
Grizzlies,Brandon Clarke,1.4,2.59
