Team,Player,4+ Rebs,6+ Rebs
Pelicans,CJ McCollum,1.4,6.48
Pelicans,Herbert Jones,1.46,3.19
Pelicans,Daniel Theis,1.74,4.8
Pelicans,Brandon Ingram,1.1,1.63
Pelicans,Zion Williamson,1.07,1.22
Pelicans,Dejounte Murray,1.01,1.21
Pelicans,Jordan Hawkins,1.51,3.68
Pelicans,Bogdan Bogdanovic,1.77,4.91
Pelicans,Javonte Green,1.75,5.83
Rockets,Fred VanVleet,1.39,2.66
Rockets,Jalen Green,1.34,2.28
Rockets,Dillon Brooks,1.5,4.1
Rockets,Jabari Smith Jr.,1.18,1.46
Rockets,Alperen Sengun,1.01,1.05
Rockets,Cam Whitmore,0,0
Rockets,Amen Thompson,1.08,1.31
Rockets,Tari Eason,1.17,1.51
Rockets,Jock Landale,1.82,4.31
