Team,Player,4+ Rebs,6+ Rebs
Philadelphia 76ers,Tyrese Maxey,2.0,9.06
Philadelphia 76ers,Kyle Lowry,3.01,0
Philadelphia 76ers,Caleb Martin,1.27,1.71
Philadelphia 76ers,Kelly Oubre Jr.,1.26,2.23
Philadelphia 76ers,Andre Drummond,1.03,1.1
Philadelphia 76ers,Eric Gordon,0,0
Philadelphia 76ers,Paul George,1.19,1.63
Philadelphia 76ers,Joel Embiid,nan,nan
Philadelphia 76ers,Guerschon Yabusele,1.26,1.9
Orlando Magic,Kentavious Caldwell-Pope,2.47,0
Orlando Magic,Jalen Suggs,1.18,2.14
Orlando Magic,Franz Wagner,1.2,1.9
Orlando Magic,Paolo Banchero,1.03,1.12
Orlando Magic,Wendell Carter Jr.,1.1,1.24
Orlando Magic,Anthony Black,1.93,8.12
Orlando Magic,Jett Howard,0,0
Orlando Magic,Moritz Wagner,1.27,2.61
Orlando Magic,Cole Anthony,2.51,0
