Team,Player,4+ Rebs,6+ Rebs
Phoenix Suns,Devin Booker,1.62,3.63
Phoenix Suns,Devin Booker,1.62,3.63
Phoenix Suns,Tyus Jones,2.27,0
Phoenix Suns,Kevin Durant,1.04,1.29
Phoenix Suns,Jusuf Nurkic,1.07,1.16
Phoenix Suns,Royce O'Neale,1.06,1.37
Phoenix Suns,Damion Lee,4.17,0
Phoenix Suns,Monte Morris,0,0
Phoenix Suns,Mason Plumlee,1.33,1.75
Oklahoma City Thunder,Shai Gilgeous-Alexander,1.19,1.73
Oklahoma City Thunder,Aaron Wiggins,1.41,3.12
Oklahoma City Thunder,Jalen Williams,1.09,1.41
Oklahoma City Thunder,Luguentz Dort,1.71,4.72
Oklahoma City Thunder,Chet Holmgren,1.14,1.29
Oklahoma City Thunder,Isaiah Joe,1.93,7.49
Oklahoma City Thunder,Alex Caruso,2.08,8.02
Oklahoma City Thunder,Isaiah Joe,1.93,7.49
Oklahoma City Thunder,Isaiah Joe,1.93,7.49
