Team,Player,4+ Rebs,6+ Rebs
Pistons,Tim Hardaway Jr.,4.56,0
Pistons,Tobias Harris,1.1,1.33
Pistons,Cade Cunningham,1.02,1.18
Pistons,Jaden Ivey,1.33,2.74
Pistons,Jalen Duren,1.1,1.22
Pistons,Malik Beasley,2.0,5.17
Pistons,Isaiah Stewart,1.19,1.53
Pistons,Simone Fontecchio,1.88,4.08
Pistons,Simone Fontecchio,1.88,4.08
Bucks,Damian Lillard,1.24,2.58
Bucks,Taurean Prince,1.38,2.24
Bucks,Gary Trent Jr.,3.72,0
Bucks,Giannis Antetokounmpo,1.0,1.01
Bucks,Brook Lopez,1.29,2.03
Bucks,Bobby Portis,1.1,1.31
Bucks,Pat Connaughton,1.87,4.35
Bucks,AJ Green,3.1,0
Bucks,Delon Wright,4.64,0
