Team,Player,4+ Rebs,6+ Rebs
Pistons,Tim Hardaway Jr.,4.56,0
Pistons,Tobias Harris,1.1,1.33
Pistons,Cade Cunningham,1.02,1.18
Pistons,Jaden Ivey,1.33,2.74
Pistons,Jalen Duren,1.1,1.22
Pistons,Malik Beasley,2.0,5.17
Pistons,Isaiah Stewart,1.19,1.53
Pistons,Simone Fontecchio,1.88,4.08
Pistons,Simone Fontecchio,1.88,4.08
Hawks,Jalen Johnson,1.03,1.11
Hawks,Jalen Johnson,1.03,1.11
Hawks,Clint Capela,1.05,1.14
Hawks,Trae Young,1.55,3.24
Hawks,Dyson Daniels,1.24,1.91
Hawks,Onyeka Okongwu,1.13,1.43
Hawks,Garrison Mathews,0,0
Hawks,De'Andre Hunter,1.38,3.25
Hawks,David Roddy,2.0,4.13
