Team,Player,4+ Rebs,6+ Rebs
Pistons,Tim Hardaway Jr.,4.93,0
Pistons,Tobias Harris,1.09,1.28
Pistons,Cade Cunningham,1.03,1.18
Pistons,Jaden Ivey,1.23,2.55
Pistons,Jalen Duren,1.06,1.15
Pistons,Malik Beasley,2.0,5.02
Pistons,Isaiah Stewart,1.16,1.43
Pistons,Simone Fontecchio,1.79,5.29
Pistons,Simone Fontecchio,1.79,5.29
Hornets,LaMelo Ball,1.33,2.14
Hornets,Cody Martin,1.24,2.74
Hornets,Seth Curry,5.16,0
Hornets,Miles Bridges,1.05,1.3
Hornets,Nick Richards,1.07,1.16
Hornets,Tre Mann,2.0,7.83
Hornets,Grant Williams,1.24,1.91
Hornets,Vasilije Micic,2.12,4.67
Hornets,Vasilije Micic,2.12,4.67
