Team,Player,4+ Rebs,6+ Rebs
Pistons,Tim Hardaway Jr.,4.86,0
Pistons,Tobias Harris,1.1,1.32
Pistons,Cade Cunningham,1.02,1.17
Pistons,Jaden Ivey,1.3,2.61
Pistons,Jalen Duren,1.07,1.16
Pistons,Malik Beasley,2.04,5.42
Pistons,Isaiah Stewart,1.17,1.46
Pistons,Simone Fontecchio,2.05,7.68
Pistons,Simone Fontecchio,2.05,7.68
Pacers,Tyrese Haliburton,1.67,3.7
Pacers,Andrew Nembhard,6.3,0
Pacers,Aaron Nesmith,1.57,2.74
Pacers,Pascal Siakam,1.05,1.32
Pacers,Myles Turner,1.05,1.22
Pacers,Obi Toppin,1.91,6.74
Pacers,Bennedict Mathurin,1.13,1.37
Pacers,T.J. McConnell,2.35,0
Pacers,Ben Sheppard,3.08,0
