Team,Player,4+ Rebs,6+ Rebs
Portland Trail Blazers,Toumani Camara,1.37,2.79
Portland Trail Blazers,Jerami Grant,1.23,1.85
Portland Trail Blazers,Anfernee Simons,0,0
Portland Trail Blazers,Deni Avdija,1.01,1.38
Portland Trail Blazers,Deandre Ayton,1.0,1.0
Portland Trail Blazers,Scoot Henderson,1.63,5.17
Portland Trail Blazers,Kris Murray,0,0
Portland Trail Blazers,Jabari Walker,1.3,3.03
Portland Trail Blazers,Jabari Walker,1.3,3.03
Los Angeles Clippers,Derrick Jones Jr.,2.0,8.06
Los Angeles Clippers,James Harden,1.05,1.18
Los Angeles Clippers,Norman Powell,2.41,0
Los Angeles Clippers,Terance Mann,2.0,6.3
Los Angeles Clippers,Ivica Zubac,1.01,1.03
Los Angeles Clippers,Kris Dunn,1.1,1.43
Los Angeles Clippers,Amir Coffey,3.52,0
Los Angeles Clippers,Kevin Porter Jr.,3.24,0
Los Angeles Clippers,Nicolas Batum,1.63,0
