Team,Player,4+ Rebs,6+ Rebs
Raptors,Scottie Barnes,1.09,1.24
Raptors,Ochai Agbaji,1.36,2.44
Raptors,Gradey Dick,1.95,5.71
Raptors,Jakob Poeltl,1.01,1.03
Raptors,Davion Mitchell,2.85,0
Raptors,Chris Boucher,1.26,2.41
Raptors,Chris Boucher,1.26,2.41
Raptors,Chris Boucher,1.26,2.41
Raptors,Bruno Fernando,1.97,3.42
Heat,Terry Rozier,1.43,4.07
Heat,Tyler Herro,1.09,1.67
Heat,Jimmy Butler,1.25,1.79
Heat,Nikola Jovic,1.59,3.67
Heat,Bam Adebayo,1.02,1.09
Heat,Alec Burks,3.08,0
Heat,Jaime Jaquez Jr.,1.15,1.64
Heat,Duncan Robinson,2.96,0
Heat,Thomas Bryant,1.71,3.35
