Team,Player,4+ Rebs,6+ Rebs
Rockets,Fred VanVleet,1.32,2.62
Rockets,Jalen Green,1.32,2.03
Rockets,Dillon Brooks,1.68,6.51
Rockets,Jabari Smith Jr.,1.16,1.44
Rockets,Alperen Sengun,1.02,1.06
Rockets,Cam Whitmore,0,0
Rockets,Amen Thompson,1.15,1.48
Rockets,Tari Eason,1.16,1.49
Rockets,Jock Landale,1.73,4.0
Trail Blazers,Toumani Camara,1.25,1.85
Trail Blazers,Jerami Grant,1.7,3.75
Trail Blazers,Anfernee Simons,3.13,0
Trail Blazers,Deni Avdija,1.09,1.55
Trail Blazers,Deandre Ayton,1.01,1.04
Trail Blazers,Scoot Henderson,2.09,0
Trail Blazers,Kris Murray,2.56,9.38
Trail Blazers,Jabari Walker,2.47,0
Trail Blazers,Jabari Walker,2.47,0
