Team,Player,4+ Rebs,6+ Rebs
San Antonio Spurs,Chris Paul,1.66,3.58
San Antonio Spurs,Julian Champagnie,1.04,1.54
San Antonio Spurs,Harrison Barnes,1.46,3.52
San Antonio Spurs,Jeremy Sochan,1.07,1.24
San Antonio Spurs,Victor Wembanyama,1.05,1.13
San Antonio Spurs,Keldon Johnson,1.14,1.65
San Antonio Spurs,Keldon Johnson,1.14,1.65
San Antonio Spurs,Tre Jones,,
San Antonio Spurs,Zach Collins,1.8,4.49
Dallas Mavericks,Luka Doncic,1.0,1.02
Dallas Mavericks,Kyrie Irving,1.26,2.33
Dallas Mavericks,Klay Thompson,1.59,3.93
Dallas Mavericks,P.J. Washington,1.05,1.2
Dallas Mavericks,Daniel Gafford,1.04,1.37
Dallas Mavericks,Dereck Lively II,1.14,1.36
Dallas Mavericks,Maxi Kleber,3.82,0
Dallas Mavericks,Naji Marshall,1.6,3.79
Dallas Mavericks,Jaden Hardy,0,0
