Team,Player,4+ Rebs,6+ Rebs
San Antonio Spurs,Chris Paul,2.15,3.72
San Antonio Spurs,Julian Champagnie,1.0,1.19
San Antonio Spurs,Harrison Barnes,1.4,0
San Antonio Spurs,Jeremy Sochan,1.02,1.1
San Antonio Spurs,Victor Wembanyama,1.11,1.19
San Antonio Spurs,Keldon Johnson,1.11,1.6
San Antonio Spurs,Keldon Johnson,1.11,1.6
San Antonio Spurs,Tre Jones,nan,nan
San Antonio Spurs,Zach Collins,1.22,1.81
Oklahoma City Thunder,Shai Gilgeous-Alexander,1.0,1.04
Oklahoma City Thunder,Aaron Wiggins,1.81,3.95
Oklahoma City Thunder,Jalen Williams,1.14,1.39
Oklahoma City Thunder,Luguentz Dort,nan,nan
Oklahoma City Thunder,Chet Holmgren,1.0,1.01
Oklahoma City Thunder,Isaiah Joe,0,0
Oklahoma City Thunder,Alex Caruso,1.8,4.26
Oklahoma City Thunder,Isaiah Joe,0,0
Oklahoma City Thunder,Isaiah Joe,0,0
