Team,Player,4+ Rebs,6+ Rebs
Thunder,Shai Gilgeous-Alexander,1.21,1.83
Thunder,Aaron Wiggins,1.6,4.21
Thunder,Jalen Williams,1.07,1.35
Thunder,Luguentz Dort,1.38,2.09
Thunder,Chet Holmgren,1.14,1.29
Thunder,Isaiah Joe,1.94,7.95
Thunder,Alex Caruso,2.07,7.69
Thunder,Cason Wallace,1.83,9.45
Thunder,Isaiah Joe,1.94,7.95
Lakers,D'Angelo Russell,3.63,0
Lakers,Austin Reaves,1.76,3.75
Lakers,Rui Hachimura,1.22,1.82
Lakers,LeBron James,1.08,1.23
Lakers,Anthony Davis,1.0,1.02
Lakers,Max Christie,4.86,0
Lakers,Max Christie,4.86,0
Lakers,Jaxson Hayes,1.34,2.36
Lakers,Gabe Vincent,0,0
