Team,Player,4+ Rebs,6+ Rebs
Timberwolves,Mike Conley,1.85,8.96
Timberwolves,Anthony Edwards,1.15,1.94
Timberwolves,Jaden McDaniels,1.65,4.73
Timberwolves,Julius Randle,1.06,1.32
Timberwolves,Rudy Gobert,1.01,1.05
Timberwolves,Donte DiVincenzo,1.84,5.51
Timberwolves,Naz Reid,1.31,1.9
Timberwolves,Nickeil Alexander-Walker,2.48,0
Timberwolves,Joe Ingles,0,0
Raptors,Scottie Barnes,1.07,1.23
Raptors,Ochai Agbaji,1.22,2.11
Raptors,Gradey Dick,2.17,7.11
Raptors,Jakob Poeltl,1.01,1.03
Raptors,Davion Mitchell,2.3,0
Raptors,Chris Boucher,1.23,2.25
Raptors,Chris Boucher,1.23,2.25
Raptors,Chris Boucher,1.23,2.25
Raptors,Bruno Fernando,1.86,2.96
