Team,Player,4+ Rebs,6+ Rebs
Timberwolves,Mike Conley,2.07,0
Timberwolves,Anthony Edwards,1.14,1.7
Timberwolves,Jaden McDaniels,1.54,4.12
Timberwolves,Julius Randle,1.05,1.28
Timberwolves,Rudy Gobert,1.01,1.05
Timberwolves,Donte DiVincenzo,1.96,7.58
Timberwolves,Naz Reid,1.3,2.03
Timberwolves,Nickeil Alexander-Walker,2.18,6.06
Timberwolves,Joe Ingles,0,0
Warriors,Stephen Curry,1.16,1.71
Warriors,Trayce Jackson-Davis,1.39,2.05
Warriors,Andrew Wiggins,1.43,2.29
Warriors,Draymond Green,1.18,1.52
Warriors,Jonathan Kuminga,1.24,3.05
Warriors,Buddy Hield,1.65,4.49
Warriors,Brandin Podziemski,1.31,2.03
Warriors,Kevon Looney,1.02,1.12
Warriors,Gary Payton II,2.7,0
