Team,Player,4+ Rebs,6+ Rebs
Toronto Raptors,Scottie Barnes,1.07,1.23
Toronto Raptors,Ochai Agbaji,1.25,2.12
Toronto Raptors,Gradey Dick,2.18,6.59
Toronto Raptors,Jakob Poeltl,1.01,1.04
Toronto Raptors,Davion Mitchell,2.09,0
Toronto Raptors,Chris Boucher,1.28,2.45
Toronto Raptors,Chris Boucher,1.28,2.45
Toronto Raptors,Chris Boucher,1.28,2.45
Toronto Raptors,Bruno Fernando,1.82,2.8
Boston Celtics,Jrue Holiday,1.47,3.42
Boston Celtics,Derrick White,1.29,2.56
Boston Celtics,Jaylen Brown,1.04,1.21
Boston Celtics,Jayson Tatum,1.05,1.21
Boston Celtics,Al Horford,1.1,1.63
Boston Celtics,Luke Kornet,1.59,3.41
Boston Celtics,Payton Pritchard,2.25,0
Boston Celtics,Xavier Tillman,3.11,0
Boston Celtics,Xavier Tillman,3.11,0
