Team,Player,4+ Rebs,6+ Rebs
Toronto Raptors,Scottie Barnes,1.07,1.23
Toronto Raptors,Ochai Agbaji,1.17,1.63
Toronto Raptors,Gradey Dick,0,0
Toronto Raptors,Jakob Poeltl,1.04,1.09
Toronto Raptors,Davion Mitchell,6.24,0
Toronto Raptors,Chris Boucher,1.53,2.45
Toronto Raptors,Chris Boucher,1.53,2.45
Toronto Raptors,Chris Boucher,1.53,2.45
Toronto Raptors,Bruno Fernando,1.15,1.78
Charlotte Hornets,LaMelo Ball,1.01,1.14
Charlotte Hornets,Cody Martin,1.22,1.81
Charlotte Hornets,Seth Curry,1.49,5.21
Charlotte Hornets,Miles Bridges,1.02,1.14
Charlotte Hornets,Nick Richards,1.0,1.01
Charlotte Hornets,Tre Mann,1.16,2.41
Charlotte Hornets,Grant Williams,1.63,0
Charlotte Hornets,Vasilije Micic,1.72,2.95
Charlotte Hornets,Vasilije Micic,1.72,2.95
