Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Utah Jazz,Lauri Markkanen,1.16,1.61,1.69,3.4,3.76,1.04,1.16,1.49,2.41,0,1.0,1.0,1.0,3.52,0,0,0,nan,nan,nan,nan,nan,nan
Utah Jazz,Walker Kessler,1.8,7.48,9.43,0,0,nan,nan,nan,nan,nan,1.0,1.01,1.04,1.22,1.81,3.95,0,1.4,0,0,0,0,0
Utah Jazz,Keyonte George,1.06,0,0,0,0,1.08,1.39,2.58,8.02,0,2.0,8.06,0,0,0,0,0,1.02,1.19,2.0,6.3,0,0
Utah Jazz,Taylor Hendricks,3.99,0,0,0,0,1.39,2.0,3.55,8.06,0,1.19,2.0,6.3,0,0,0,0,2.58,0,0,0,0,0
Utah Jazz,Collin Sexton,1.08,2.33,2.78,0,0,1.39,2.58,8.02,0,0,2.58,0,0,0,0,0,0,1.19,6.3,0,0,0,0
Utah Jazz,Collin Sexton,1.08,2.33,2.78,0,0,1.39,2.58,8.02,0,0,2.58,0,0,0,0,0,0,1.19,6.3,0,0,0,0
Utah Jazz,Jordan Clarkson,1.07,0,0,0,0,1.19,2.0,6.3,0,0,1.63,3.54,0,0,0,0,0,1.1,1.43,2.53,6.93,0,0
Utah Jazz,John Collins,1.03,0,0,0,0,1.24,1.71,3.03,7.29,0,1.0,1.19,6.3,0,0,0,0,1.35,2.68,0,0,0,0
Utah Jazz,Brice Sensabaugh,7.27,0,0,0,0,1.39,2.58,8.02,0,0,8.13,0,0,0,0,0,0,8.13,0,0,0,0,0
Sacramento Kings,De'Aaron Fox,1.02,1.35,1.45,5.07,6.32,1.02,1.19,2.0,6.3,0,1.35,2.68,0,0,0,0,0,1.06,1.14,1.33,1.69,2.44,4.07
Sacramento Kings,Kevin Huerter,1.64,4.73,5.6,0,0,1.14,1.31,1.63,2.26,0,3.03,0,0,0,0,0,0,1.6,3.82,0,0,0,0
Sacramento Kings,DeMar DeRozan,1.0,1.0,1.0,0,0,1.39,2.58,8.02,0,0,1.67,2.49,4.41,9.47,0,0,0,1.0,3.52,0,0,0,0
Sacramento Kings,Keegan Murray,1.36,3.0,3.43,0,0,1.22,1.43,1.81,2.53,0,1.1,1.29,1.74,2.84,5.83,0,0,1.14,0,0,0,0,0
Sacramento Kings,Domantas Sabonis,1.02,1.29,1.37,4.49,5.55,1.08,1.39,2.58,8.02,0,1.0,1.01,1.07,1.29,2.0,4.45,0,1.16,1.34,1.71,2.42,3.9,7.27
Sacramento Kings,Malik Monk,1.02,0,0,0,0,1.02,1.19,2.0,6.3,0,2.41,0,0,0,0,0,0,1.29,2.0,4.45,0,0,0
Sacramento Kings,Trey Lyles,0,0,0,0,0,nan,nan,nan,nan,nan,3.82,0,0,0,0,0,0,3.52,0,0,0,0,0
Sacramento Kings,Alex Len,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,1.6,3.82,0,0,0,0
Sacramento Kings,Jordan McLaughlin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,4.17,0,0,0,0,0
