Team,Player,4+ Rebs,6+ Rebs
Utah Jazz,Lauri Markkanen,1.13,1.51
Utah Jazz,Walker Kessler,1.02,1.06
Utah Jazz,Keyonte George,2.21,0
Utah Jazz,Taylor Hendricks,1.19,2.0
Utah Jazz,Collin Sexton,2.11,0
Utah Jazz,Collin Sexton,2.11,0
Utah Jazz,Jordan Clarkson,1.35,4.81
Utah Jazz,John Collins,1.06,1.21
Utah Jazz,Brice Sensabaugh,6.84,0
Sacramento Kings,De'Aaron Fox,1.25,1.91
Sacramento Kings,Kevin Huerter,1.52,3.61
Sacramento Kings,DeMar DeRozan,1.53,2.72
Sacramento Kings,Keegan Murray,1.07,1.22
Sacramento Kings,Domantas Sabonis,1.0,1.01
Sacramento Kings,Malik Monk,2.0,0
Sacramento Kings,Trey Lyles,1.65,3.31
Sacramento Kings,Alex Len,3.09,0
Sacramento Kings,Jordan McLaughlin,0,0
