Team,Player,4+ Rebs,6+ Rebs
Warriors,Stephen Curry,1.19,1.9
Warriors,Trayce Jackson-Davis,1.41,2.13
Warriors,Andrew Wiggins,1.47,2.46
Warriors,Draymond Green,1.16,1.51
Warriors,Jonathan Kuminga,1.26,2.78
Warriors,Buddy Hield,1.72,4.96
Warriors,Brandin Podziemski,1.37,2.26
Warriors,Kevon Looney,1.03,1.17
Warriors,Gary Payton II,2.12,5.94
Grizzlies,Marcus Smart,2.67,0
Grizzlies,Desmond Bane,1.12,1.53
Grizzlies,Desmond Bane,1.12,1.53
Grizzlies,Jaren Jackson Jr.,1.04,1.43
Grizzlies,Desmond Bane,1.12,1.53
Grizzlies,Santi Aldama,1.13,1.36
Grizzlies,Jake LaRavia,1.38,2.4
Grizzlies,Scotty Pippen Jr.,1.63,4.05
Grizzlies,Brandon Clarke,1.28,2.0
