Team,Player,4+ Rebs,6+ Rebs
Warriors,Stephen Curry,1.23,1.89
Warriors,Trayce Jackson-Davis,1.34,1.93
Warriors,Andrew Wiggins,1.51,2.32
Warriors,Draymond Green,1.17,1.6
Warriors,Jonathan Kuminga,1.24,3.16
Warriors,Buddy Hield,1.57,3.83
Warriors,Brandin Podziemski,1.32,2.3
Warriors,Kevon Looney,1.02,1.11
Warriors,Gary Payton II,6.29,0
Pelicans,CJ McCollum,1.66,4.61
Pelicans,Herbert Jones,2.86,0
Pelicans,Daniel Theis,1.65,4.14
Pelicans,Brandon Ingram,1.03,1.37
Pelicans,Zion Williamson,1.07,1.22
Pelicans,Jordan Hawkins,1.25,2.57
Pelicans,Jordan Hawkins,1.25,2.57
Pelicans,Jose Alvarado,2.81,9.73
Pelicans,Javonte Green,1.69,6.03
