Team,Player,10+ PTS,19+ PTS,20+ PTS,29+ PTS,30+ PTS,1+ 3's,2+ 3's,3+ 3's,4+ 3's,9+ 3's,4+ Rebs,6+ Rebs,8+ Rebs,10+ Rebs,12+ Rebs,14+ Rebs,16+ Rebs,2+ ASTs,4+ ASTs,6+ ASTs,8+ ASTs,10+ ASTs,12+ ASTs
Washington Wizards,Bilal Coulibaly,1.37,2.46,2.7,8.38,9.85,1.32,1.57,2.0,2.76,0,nan,nan,nan,nan,nan,nan,nan,1.32,1.8,2.98,6.21,0,0
Washington Wizards,Jordan Poole,1.11,1.69,1.83,5.78,6.92,1.0,1.0,1.02,1.09,0,nan,nan,nan,nan,nan,nan,nan,1.0,1.09,2.0,0,0,0
Washington Wizards,Kyle Kuzma,1.0,0,0,0,0,nan,nan,nan,nan,nan,1.47,2.0,3.14,5.78,0,0,0,1.32,4.17,0,0,0,0
Washington Wizards,Kyle Kuzma,1.0,0,0,0,0,nan,nan,nan,nan,nan,1.47,2.0,3.14,5.78,0,0,0,1.32,4.17,0,0,0,0
Washington Wizards,Kyle Kuzma,1.0,0,0,0,0,nan,nan,nan,nan,nan,1.47,2.0,3.14,5.78,0,0,0,1.32,4.17,0,0,0,0
Washington Wizards,Kyle Kuzma,1.0,0,0,0,0,nan,nan,nan,nan,nan,1.47,2.0,3.14,5.78,0,0,0,1.32,4.17,0,0,0,0
Washington Wizards,Corey Kispert,2.76,0,0,0,0,1.32,2.0,4.17,0,0,2.0,4.17,0,0,0,0,0,1.02,4.17,0,0,0,0
Washington Wizards,Jonas Valanciunas,1.23,4.17,5.31,0,0,nan,nan,nan,nan,nan,1.05,1.32,2.46,8.38,0,0,0,2.0,0,0,0,0,0
Washington Wizards,Marvin Bagley III,4.17,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.17,0,0,0,0,0
Atlanta Hawks,Jalen Johnson,1.43,0,0,0,0,1.14,3.52,0,0,0,1.0,1.01,1.16,2.41,0,0,0,1.02,2.0,0,0,0,0
Atlanta Hawks,Jalen Johnson,1.43,0,0,0,0,1.14,3.52,0,0,0,1.0,1.01,1.16,2.41,0,0,0,1.02,2.0,0,0,0,0
Atlanta Hawks,Clint Capela,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.04,1.39,3.55,0,0,0,1.4,0,0,0,0,0
Atlanta Hawks,Trae Young,1.0,1.04,1.05,1.54,1.68,1.04,1.14,1.39,2.0,0,1.46,2.16,3.94,9.19,0,0,0,1.0,1.0,1.01,1.07,1.45,3.24
Atlanta Hawks,Dyson Daniels,1.29,4.86,6.28,0,0,1.14,1.63,3.56,0,0,1.46,2.16,3.94,9.19,0,0,0,1.08,2.58,0,0,0,0
Atlanta Hawks,Onyeka Okongwu,1.33,2.28,2.49,7.27,8.47,1.14,3.52,0,0,0,1.14,1.48,2.45,5.63,0,0,0,1.39,8.02,0,0,0,0
Atlanta Hawks,Garrison Mathews,1.47,0,0,0,0,1.02,1.09,1.32,2.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
Atlanta Hawks,Vit Krejci,0,0,0,0,0,1.4,8.13,0,0,0,3.82,0,0,0,0,0,0,1.63,0,0,0,0,0
Atlanta Hawks,David Roddy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
