Team,Player,4+ Rebs,6+ Rebs
Washington Wizards,Bilal Coulibaly,1.15,1.66
Washington Wizards,Jordan Poole,3.83,0
Washington Wizards,Kyle Kuzma,1.22,1.58
Washington Wizards,Kyle Kuzma,1.22,1.58
Washington Wizards,Kyle Kuzma,1.22,1.58
Washington Wizards,Kyle Kuzma,1.22,1.58
Washington Wizards,Corey Kispert,2.22,0
Washington Wizards,Jonas Valanciunas,1.06,1.22
Washington Wizards,Marvin Bagley III,2.34,6.55
Atlanta Hawks,Jalen Johnson,1.02,1.08
Atlanta Hawks,Jalen Johnson,1.02,1.08
Atlanta Hawks,Clint Capela,1.05,1.23
Atlanta Hawks,Trae Young,1.48,2.66
Atlanta Hawks,Dyson Daniels,1.41,2.61
Atlanta Hawks,Onyeka Okongwu,1.14,1.59
Atlanta Hawks,Garrison Mathews,0,0
Atlanta Hawks,Vit Krejci,5.63,0
Atlanta Hawks,David Roddy,1.58,2.95
